depot_id,ttl_td_id,ttl_captain_id,ttl_point_a,ttl_point_b,max_diff_minutes_from_point_a,max_diff_minutes_idle_mode,max_diff_minutes_to_point_a,min_diff_minutes_from_point_a,min_diff_minutes_idle_mode,min_diff_minutes_to_point_a,avg_diff_minutes_from_point_a,avg_diff_minutes_idle_mode,avg_diff_minutes_to_point_a,med_diff_minutes_from_point_a,med_diff_minutes_idle_mode,med_diff_minutes_to_point_a,max_speed,min_speed,avg_speed,med_speed,ttl_td_completed,WaktuSebelumProblem,WaktuSebelumInspection,WaktuDiambikUtkRepair,labelencoded,busencoded,point_aencoded,point_bencoded,line_id_yencoded,br_idencoded,br_repair_statusencoded,br_entry_statusencoded,line_id_x_en,rtd_cause_en,br_ttl_days_en,rtd_id_en,route_id_en,bus_model_id_en,driver_id_en,capt_id_en,newlabel_en,prediction_label,prediction_score
4,4,1,1,1,25.35,567.7833,26.95,25.35,0.0,26.95,25.35,283.89166,26.95,25.35,283.89166,26.95,17.0,8.0,14.0,17.0,4.0,0.0,0.0,0.0,2,71,38,67,24,-1,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
4,4,1,1,1,25.35,567.7833,26.95,25.35,0.0,26.95,25.35,283.89166,26.95,25.35,283.89166,26.95,17.0,8.0,14.0,17.0,4.0,0.0,0.0,0.0,2,71,38,67,25,-1,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
4,16,1,1,1,73.183334,96.333336,50.166668,44.55,25.366667,42.6,53.670834,45.978573,46.6875,48.475,40.05,46.991665,40.0,11.0,20.4375,15.5,16.0,0.0,0.0,0.0,2,98,77,64,129,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
4,12,1,1,1,51.0,80.0,67.0,45.0,12.5,43.0,47.166668,36.59667,51.66111,45.5,28.5,44.983334,53.0,7.0,32.0,33.0,12.0,0.0,0.0,0.0,2,264,77,64,129,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
4,20,2,1,1,53.0,436.98334,64.5,32.0,0.5,20.483334,40.4,60.774075,47.396667,38.5,5.0,51.0,53.0,1.0,23.157894,25.0,20.0,0.0,0.0,0.0,3,239,78,81,134,-1,-1,-1,134,10,-1,510,13,9,270,-1,1,1,1.0
4,22,2,1,1,122.98333,179.48334,46.5,27.983334,22.5,31.5,56.793335,51.746666,40.252777,45.5,35.491665,40.008335,46.0,1.0,25.421053,29.0,22.0,0.0,0.0,0.0,2,257,77,64,129,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
4,26,2,1,1,48.0,70.0,57.0,22.0,0.5,43.5,36.5,32.704166,48.785713,37.75,24.991667,46.5,46.0,1.0,22.952381,25.0,26.0,0.0,0.0,0.0,2,268,78,81,134,-1,-1,-1,134,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
4,16,2,1,1,61.0,97.0,46.5,49.983334,27.0,37.5,55.491665,53.280952,41.75,55.491665,39.483334,41.5,55.0,1.0,22.933332,18.0,16.0,0.0,0.0,0.0,2,259,77,64,129,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
4,23,1,1,1,59.283333,97.066666,54.75,44.533333,18.033333,33.533333,50.4,46.69091,46.091667,48.633335,40.283333,47.45,42.0,4.0,19.227272,14.0,23.0,0.0,0.0,0.0,2,75,77,64,129,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
4,23,2,1,1,65.0,126.5,50.5,40.0,21.0,34.983334,50.2,48.99697,44.497223,48.5,38.983334,45.75,44.0,1.0,22.2,24.5,23.0,0.0,0.0,0.0,2,276,77,64,129,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
4,24,2,1,1,90.23333,206.03334,69.05,39.35,0.0,40.833332,62.202778,30.593939,53.68889,57.441666,1.4,51.208332,38.0,8.0,25.0,23.0,24.0,0.0,0.0,0.0,2,649,44,64,131,-1,-1,-1,131,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
7,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,1.0,0.0,0.0,0.0,2,101,117,90,152,-1,-1,-1,152,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
