route_id,route_no,route_no_cbts,route_origin,route_destination,route_type,route_category,route_service,route_corridor,route_name,route_desc,route_dist_in,route_dist_out,state_id,depot_id,status,freq_min,freq_max,total_km,km_per_trip,travel_time,deadmileage,line_id,zone,pis_profile
554,T402,T4020,,,TEMPATAN,Normal,RAPID,,LRT SALAK SELATAN :: HUKM,Stesen LRT Salak Selatan ~ HUKM,,,1,4,0,15.0,30.0,9.00,9.0,45.0,9.8,T402002,1,
555,T403,T4030,,,TEMPATAN,Normal,RAPID,,HUB TAMAN AWANA :: TERMINAL BERSEPADU SELATAN,Taman Awana ~ Stesen LRT Bandar Tasek Selatan,,,1,5,0,15.0,15.0,15.00,,75.0,22.6,T403002,2,
556,T404,T4040,,,TEMPATAN,Normal,RAPID,,HUB TAMAN AWANA :: RHB TMN MIDAH,Taman Supreme ~ Taman Segar ~ Bukit Cheras ~ Taman Midah,,,1,5,0,10.0,10.0,14.10,,70.0,24.0,T404002,1,
557,T405,T4050,,,TEMPATAN,Normal,RAPID,,HUB TAMAN AWANA :: CAHAYA AUTO (OPP),Taman Awana ~ Leisure Mall Cheras,,,1,5,0,15.0,15.0,13.20,,75.0,22.6,T405002,1,
558,T406,T4060,CHERAS BATU 10,PANGSUN,TEMPATAN,Normal,RAPID,,TNB PANGSUN :: TM BT 10,Cheras Batu 10 ~ Pangsun,26000.0,25000.0,1,5,1,15.0,30.0,51,26.0,0.0,10,T406002,3,
559,T450,T4500,BERANANG,BANDAR KAJANG,TEMPATAN,Normal,RAPID,,SK BERANANG :: WISMA CTL/PEKAN KAJANG,Beranang ~ Bandar Kajang,20600.0,20900.0,1,5,1,15.0,30.0,40,20.0,140.0,28,T450002,2,
560,T451,T4510,,,TEMPATAN,Normal,RAPID,,PEKAN KAJANG :: AYUNI HOTEL (OPP),Bandar Kajang ~ UKM Bangi,,,1,5,0,30.0,30.0,50.90,,60.0,28.0,T451002,1,
561,T580,T5800,,,TEMPATAN,Normal,RAPID,,Stesen LRT Awan Besar ~ TPM via Stesen LRT Bukit Jalil,Stesen LRT Awan Besar ~ TPM via Stesen LRT Bukit Jalil,,,1,6,0,15.0,30.0,23.30,,60.0,11.0,T580002,1,
562,T581,T5810,,,TEMPATAN,Normal,RAPID,,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil,,,1,6,0,15.0,30.0,7.40,,70.0,11.0,T581002,1,
563,T582,T5820,,,TEMPATAN,Normal,RAPID,,Stesen LRT Bukit Jalil ~ Stesen LRT Salak Selatan,Stesen LRT Bukit Jalil ~ Stesen LRT Salak Selatan,,,1,6,0,30.0,45.0,20.80,,60.0,11.0,T582002,1,
564,T583,T5830,,,TEMPATAN,Normal,RAPID,,Taman Gembira ~ Stesen LRT Salak Selatan,Taman Gembira ~ Stesen LRT Salak Selatan,,,1,6,0,15.0,30.0,15.90,,60.0,11.0,T583002,1,
565,T640,T6400,,,TEMPATAN,Normal,RAPID,,Stesen LRT Taman Jaya ~ Taman Sri Sentosa,Stesen LRT Taman Jaya ~ Taman Sri Sentosa,,,1,6,0,10.0,10.0,13.20,,130.0,13.1,T640002,1,
566,T715,T7150,UITM PUNCAK ALAM,BANDAR PUNCAK ALAM,TEMPATAN,Normal,RAPID,,PANGSAPURI ASTANA :: DEWAN RAFFLESIA,UiTM Puncak Alam ~ Bandar Puncak Alam,12500.0,15500.0,1,7,1,30.0,30.0,28,14.0,65.0,72,T715002,1,
567,T750,T7500,,,TEMPATAN,Normal,RAPID,,SA7 HUB SEKSYEN 2 (OPP) :: UITM PINTU 1,Sekysen 2 Shah Alam ~ UiTM Shah Alam,,,1,7,0,15.0,15.0,7.8,7.8,41.0,11,T750002,1,
568,T751,T7510,SEKSYEN 7 SHAH ALAM,UITM SHAH ALAM,TEMPATAN,Normal,RAPID,,BLOK 58 :: FAKULTI SAINS,Seksyen 7 Shah Alam ~ UiTM Shah Alam,,7700.0,1,7,1,10.0,10.0,7.7,7.7,40.0,17,T751002,1,
569,T752,T7520,,,TEMPATAN,Normal,RAPID,,KOMERSIAL SEKSYEN 7 :: AEON MALL,Seksyen 7 Shah Alam ~ Hentian Bandar Shah Alam via MSU,,,1,7,0,60.0,60.0,22,22.0,38.0,13,T752002,1,
570,T753,T7530,HENTIAN BANDAR SHAH ALAM,"SEKYSEN 11, 9, 8, 6, 5",TEMPATAN,Normal,RAPID,,HENTIAN BANDAR SEKSYEN 14 :: HUB SEKSYEN 2,"Hentian Bandar Shah Alam ~ Sekysen 11, 9, 8, 6, 5",,10500.0,1,7,1,30.0,45.0,10.5,10.5,38.0,14,T753002,1,
571,T754,T7540,HENTIAN BANDAR SHAH ALAM,TERMINAL SEKSYEN 17,TEMPATAN,Normal,RAPID,,HENTIAN BANDAR SEKSYEN 14 :: SA442 HENTIAN SEKSYEN 19,Hentian Bandar Shah Alam ~ Terminal Seksyen 17,,14100.0,1,7,1,30.0,30.0,14.1,14.1,70.0,13,T754002,2,
572,T755,T7550,,,TEMPATAN,Normal,RAPID,,HENTIAN BANDAR SEKSYEN 14 :: STESEN KOMUTER BT 3,Hentian Bandar Shah Alam ~ Subang Mas,,,1,7,0,60.0,60.0,26,26.0,41.0,9,T755002,1,
573,T756,T7560,KEMUNING BUSINESS PARK,HENTIAN BANDAR VIA TAMAN SRI MUDA,TEMPATAN,Normal,RAPID,,HENTIAN BANDAR SEKSYEN 14 :: PUSAT PERNIAGAAN KOTA KEMUNING,Kemuning Business Park ~ Hentian Bandar via Taman Muda,18400.0,20900.0,1,7,1,20.0,30.0,39.3,20.6,180.0,10,T756002,2,
574,T770,T7700,,,TEMPATAN,Normal,RAPID,,LRT SUBANG JAYA :: SUNWAY PYRAMID,Subang Parade ~ USJ 14 / USJ 8,,,1,7,0,15.0,30.0,20.40,,68.0,23.0,T770002,1,
575,T771,T7710,,,TEMPATAN,Normal,RAPID,,Subang Bistari ~ Subang Perdana,Subang Bistari ~ Subang Perdana,,,1,9,0,40.0,40.0,19.50,11.0,70.0,36.0,T771002,1,
576,T772,T7720,,,TEMPATAN,Normal,RAPID,,Bukit Subang ~ Subang Airport,Bukit Subang ~ Subang Airport,,,1,9,0,30.0,30.0,29.50,15.0,90.0,36.0,T772002,2,
